processo_id,data_distribuicao,data_ultima_mov,lead_time_days,uf,tipo_acao,valor_causa,risco_cpc25,probabilidade_perda,valor_provisao,custo_defesa,status
PROC-2026-00014,2019-10-07,2021-05-27,598,SP,Cível - Outros,395616.55,Possível,0.42,197808.28,36092.74,Encerrado
PROC-2026-00015,2018-12-06,2020-03-30,480,SP,Cível - Outros,99824.47,Provável,0.75,74911.13,30373.28,Ativo
PROC-2026-00016,2016-11-21,2021-08-03,1716,SP,Cível - Indenizatória,499812.47,Provável,0.85,426688.1,28936.34,Encerrado
PROC-2026-00017,2016-04-09,2025-12-12,3534,SP,Cível - Outros,273792.5,Provável,0.75,204587.4,166604.3,Ativo
PROC-2026-00018,2015-07-30,2017-04-05,615,SP,Cível - Outros,247709.46,Possível,0.39,123854.73,18357.07,Ativo
PROC-2026-00019,2019-05-09,2020-12-24,595,SP,Cível - Outros,412709.74,Provável,0.89,368000.07,31901.86,Encerrado
PROC-2026-00020,2019-10-25,2025-10-03,2170,SP,Cível - Outros,105618.47,Provável,0.75,79508.65,141655.35,Ativo
PROC-2026-00021,2015-11-01,2019-07-13,1350,SP,Cível - Outros,12580.22,Provável,0.77,9655.52,46214.37,Encerrado
PROC-2026-00022,2016-09-28,2019-10-23,1120,SP,Cível - Execução,499183.92,Provável,0.74,369058.98,73959.72,Ativo
PROC-2026-00023,2016-12-31,2018-06-04,520,SP,Cível - Outros,351974.62,Provável,0.79,277036.06,15730.79,Encerrado
PROC-2026-00024,2017-12-19,2022-08-11,1696,SP,Cível - Outros,381480.46,Provável,0.83,316897.58,36763.45,Encerrado
PROC-2026-00025,2016-12-01,2021-08-25,1728,SP,Cível - Outros,363977.85,Possível,0.42,181988.92,97432.51,Ativo
PROC-2026-00026,2015-01-02,2017-12-03,1066,SP,Cível - Outros,347026.28,Possível,0.35,173513.14,69805.58,Ativo
PROC-2026-00027,2016-06-18,2018-08-07,780,SP,Cível - Outros,434918.09,Provável,0.84,363739.11,47817.11,Encerrado
PROC-2026-00028,2015-10-17,2017-07-18,640,SP,Cível - Execução,336766.35,Possível,0.67,168383.18,30882.67,Encerrado
PROC-2026-00029,2015-11-08,2017-03-28,506,SP,Cível - Outros,110813.41,Provável,0.75,83117.98,30065.36,Ativo
PROC-2026-00030,2016-02-06,2019-12-11,1404,SP,Cível - Outros,276556.97,Provável,0.83,230279.16,82724.11,Encerrado
PROC-2026-00031,2018-11-13,2021-04-22,891,SP,Cível - Outros,467932.33,Possível,0.32,233966.16,47031.6,Ativo
PROC-2026-00032,2018-08-26,2019-03-22,208,SP,Cível - Outros,5955.15,Provável,0.93,5543.89,5610.01,Encerrado
PROC-2026-00033,2017-05-20,2020-04-18,1064,SP,Cível - Indenizatória,37619.99,Provável,0.94,35379.07,19865.76,Encerrado
PROC-2026-00034,2018-06-10,2019-02-05,240,SP,Cível - Outros,341076.43,Provável,0.73,249401.09,11974.64,Encerrado
PROC-2026-00035,2016-07-23,2019-04-11,992,SP,Cível - Outros,445776.96,Provável,0.78,346177.9,45898.19,Encerrado
PROC-2026-00036,2015-04-07,2019-06-05,1520,SP,Cível - Execução,122453.41,Provável,0.81,99542.63,53780.46,Encerrado
PROC-2026-00037,2018-01-25,2023-11-28,2133,SP,Cível - Outros,435692.77,Provável,0.92,400919.23,74861.19,Encerrado
PROC-2026-00038,2019-04-21,2023-10-01,1624,SP,Cível - Execução,8926.02,Provável,0.78,6977.29,28766.73,Ativo
PROC-2026-00039,2017-02-06,2019-01-09,702,SP,Cível - Execução,389335.05,Possível,0.47,194667.53,12243.04,Encerrado
PROC-2026-00040,2017-09-06,2024-04-02,2400,SP,Cível - Outros,458423.52,Provável,0.96,441312.99,95148.49,Ativo
PROC-2026-00041,2019-07-29,2020-08-07,375,SP,Cível - Outros,439751.32,Provável,0.91,398793.12,10733.09,Encerrado
PROC-2026-00042,2019-11-12,2021-09-14,672,SP,Cível - Outros,121393.32,Provável,0.95,115459.16,22685.4,Encerrado
PROC-2026-00043,2016-09-25,2021-04-02,1650,SP,Cível - Outros,230436.11,Possível,0.41,115218.06,62254.57,Ativo
PROC-2026-00044,2017-05-28,2019-10-19,874,SP,Cível - Execução,356102.54,Provável,0.81,289315.4,41601.02,Ativo
PROC-2026-00045,2018-03-06,2019-03-16,375,SP,Cível - Outros,88110.33,Provável,0.79,69794.65,11707.31,Encerrado
PROC-2026-00046,2019-03-21,2028-01-13,3220,SP,Cível - Outros,65609.17,Provável,0.91,59888.14,148209.74,Ativo
PROC-2026-00047,2015-06-04,2092-01-30,27999,SP,Trabalhista,317374.8,Provável,0.83,263584.22,1191485.25,Ativo
PROC-2026-00048,2016-12-24,2046-01-21,10620,SP,Cível - Indenizatória,32088.79,Provável,0.71,22767.55,389488.3,Encerrado
PROC-2026-00049,2018-08-19,2022-06-05,1386,SP,Cível - Outros,43342.67,Possível,0.51,21671.34,63897.86,Encerrado
PROC-2026-00050,2017-01-18,2029-03-22,4446,SP,Cível - Execução,130325.19,Provável,0.72,94062.85,289887.2,Encerrado
PROC-2026-00051,2018-06-19,2025-06-15,2553,SP,Cível - Outros,276911.76,Provável,0.82,227206.4,132013.44,Encerrado
PROC-2026-00052,2015-02-13,2026-11-22,4300,SP,Cível - Execução,254059.31,Provável,0.99,251522.15,123149.06,Encerrado
PROC-2026-00053,2018-12-26,2029-07-11,3850,SP,Cível - Outros,386029.69,Provável,0.97,374067.89,157385.31,Ativo
PROC-2026-00054,2015-09-20,2019-06-01,1350,SP,Cível - Outros,348431.24,Possível,0.61,174215.62,28492.41,Encerrado
PROC-2026-00055,2017-07-19,2026-09-05,3335,SP,Cível - Outros,115136.89,Possível,0.38,57568.45,200920.23,Ativo
PROC-2026-00056,2015-12-09,2036-11-02,7634,SP,Cível - Execução,424248.07,Provável,0.75,317437.65,198077.93,Ativo
PROC-2026-00057,2019-06-28,2032-12-25,4929,SP,Cível - Execução,21854.68,Provável,0.91,19987.67,135436.74,Encerrado
PROC-2026-00058,2019-01-31,2024-10-01,2070,SP,Cível - Outros,364604.19,Possível,0.5,182302.09,52555.43,Encerrado
PROC-2026-00059,2016-02-18,2031-09-27,5700,SP,Cível - Execução,149187.77,Provável,0.99,147913.15,151169.24,Ativo
PROC-2026-00060,2015-06-16,2032-11-13,6360,SP,Cível - Execução,360387.8,Provável,0.88,316314.54,152885.08,Ativo
PROC-2026-00061,2016-07-13,2026-05-06,3584,SP,Cível - Outros,34684.28,Provável,0.93,32398.08,70716.75,Encerrado
PROC-2026-00062,2018-07-18,2034-09-02,5890,SP,Cível - Execução,226999.12,Provável,0.99,224503.95,376298.71,Ativo
PROC-2026-00063,2016-06-08,2035-07-31,6992,SP,Cível - Indenizatória,388163.57,Provável,0.93,360399.61,464943.18,Ativo
PROC-2026-00064,2015-07-01,2016-08-10,406,SP,Cível - Execução,251185.33,Possível,0.35,125592.66,20018.79,Ativo
PROC-2026-00065,2018-06-14,2058-04-12,14547,SP,Cível - Execução,199423.1,Provável,0.91,181783.39,882039.48,Ativo
PROC-2026-00066,2017-12-02,2020-02-02,792,SP,Cível - Outros,369027.61,Provável,0.85,315190.21,18398.95,Encerrado
PROC-2026-00067,2016-02-22,2031-11-08,5738,SP,Cível - Outros,348066.48,Provável,0.98,339588.39,294764.26,Encerrado
PROC-2026-00068,2016-08-29,2025-03-23,3128,SP,Cível - Outros,400554.6,Provável,0.99,394904.08,110631.27,Encerrado
PROC-2026-00069,2019-05-26,2020-08-10,442,SP,Cível - Outros,99142.22,Provável,0.75,74520.43,29128.36,Encerrado
PROC-2026-00070,2018-12-01,2025-01-18,2240,SP,Cível - Execução,202522.15,Provável,0.85,171325.0,113282.87,Encerrado
PROC-2026-00071,2016-02-20,2018-09-29,952,SP,Cível - Outros,389141.28,Provável,0.77,301446.19,59741.74,Encerrado
PROC-2026-00072,2015-08-22,2019-07-08,1416,SP,Cível - Outros,447839.08,Provável,0.99,444790.05,89121.68,Encerrado
PROC-2026-00073,2016-07-01,2017-11-03,490,SP,Cível - Outros,135639.51,Provável,0.74,100562.47,10796.82,Encerrado
PROC-2026-00074,2017-05-23,2018-07-02,405,SP,Cível - Outros,73038.92,Provável,0.9,65938.11,25944.46,Encerrado
PROC-2026-00075,2019-10-22,2020-03-20,150,SP,Cível - Outros,356690.49,Provável,0.93,331403.1,5935.56,Encerrado
PROC-2026-00076,2017-05-26,2020-01-23,972,SP,Cível - Outros,174190.73,Possível,0.48,87095.36,58798.79,Encerrado
PROC-2026-00077,2017-09-21,2022-10-01,1836,SP,Cível - Execução,91413.47,Provável,0.74,67890.32,83020.95,Encerrado
PROC-2026-00078,2019-03-19,2021-07-03,837,SP,Cível - Outros,223445.53,Provável,0.75,167446.68,20865.58,Ativo
PROC-2026-00079,2019-03-14,2026-12-31,2849,SP,Cível - Outros,285009.28,Provável,0.86,246376.09,103401.28,Encerrado
PROC-2026-00080,2017-05-06,2018-02-03,273,SP,Cível - Execução,187654.47,Provável,0.71,133204.18,11481.47,Encerrado
PROC-2026-00081,2019-08-20,2020-04-07,231,SP,Cível - Outros,182389.11,Provável,0.91,165742.27,8116.09,Encerrado
PROC-2026-00082,2018-09-27,2019-12-13,442,SP,Cível - Outros,102887.25,Possível,0.37,51443.63,9143.93,Encerrado
PROC-2026-00083,2019-01-26,2022-10-22,1365,SP,Cível - Outros,214194.16,Provável,0.89,190709.39,22909.17,Encerrado
PROC-2026-00084,2016-12-12,2018-08-13,609,SP,Cível - Outros,408399.7,Possível,0.56,204199.85,31709.67,Encerrado
PROC-2026-00085,2018-09-12,2022-12-18,1558,SP,Cível - Outros,218284.32,Provável,0.99,216979.85,58559.84,Encerrado
PROC-2026-00086,2019-01-06,2022-11-10,1404,SP,Cível - Execução,113517.73,Provável,0.96,108630.72,51624.19,Ativo
PROC-2026-00087,2018-04-08,2019-09-02,512,SP,Cível - Outros,395314.3,Provável,0.98,386809.52,30303.76,Encerrado
PROC-2026-00088,2017-12-01,2021-03-03,1188,SP,Cível - Outros,273711.31,Provável,0.97,265650.72,70010.65,Encerrado
PROC-2026-00089,2018-07-31,2023-01-11,1625,SP,Cível - Outros,112101.36,Provável,0.98,110343.84,88553.79,Encerrado
PROC-2026-00090,2017-01-19,2018-01-04,350,SP,Cível - Indenizatória,478439.66,Provável,0.75,357543.36,18986.97,Encerrado
PROC-2026-00091,2017-04-18,2018-02-24,312,SP,Cível - Outros,260833.31,Provável,0.7,183247.5,10667.24,Encerrado
PROC-2026-00092,2017-11-28,2017-12-19,21,RS,Cível - Outros,233669.97,Possível,0.55,116834.98,728.17,Encerrado
PROC-2026-00093,2015-01-18,2019-09-16,1702,SP,Cível - Outros,109398.16,Provável,0.74,80934.94,96637.05,Encerrado
PROC-2026-00094,2018-06-13,2020-07-29,777,SP,Cível - Outros,161970.02,Provável,0.77,125103.61,26377.76,Encerrado
PROC-2026-00095,2016-09-04,2024-07-15,2871,SP,Cível - Outros,146520.26,Possível,0.32,73260.13,64430.16,Ativo
PROC-2026-00096,2015-12-10,2026-03-07,3740,SP,Cível - Outros,209460.77,Provável,0.71,149511.55,137153.35,Ativo
PROC-2026-00097,2017-01-15,2018-03-09,418,SP,Cível - Outros,341888.2,Provável,0.92,313751.76,23069.54,Ativo
PROC-2026-00098,2015-04-13,2018-06-26,1170,SP,Cível - Outros,348978.06,Provável,0.83,289577.79,39019.17,Encerrado
PROC-2026-00099,2015-08-23,2045-05-07,10850,SP,Cível - Execução,88865.77,Provável,0.73,64665.42,679181.14,Ativo
PROC-2026-00100,2017-07-13,2020-08-14,1128,SP,Cível - Execução,402996.81,Possível,0.49,201498.4,54080.27,Encerrado
PROC-2026-00101,2017-08-02,2019-07-05,702,SP,Cível - Outros,245601.16,Possível,0.58,122800.58,26336.17,Encerrado
PROC-2026-00102,2015-05-26,2017-04-05,680,SP,Cível - Outros,228791.03,Provável,0.87,199848.91,28059.08,Encerrado
PROC-2026-00103,2015-06-21,2017-01-16,575,SP,Cível - Outros,107147.97,Provável,0.74,79283.83,19557.11,Encerrado
PROC-2026-00104,2016-08-05,2018-05-30,663,SP,Cível - Execução,312488.29,Provável,0.71,222308.49,34589.96,Encerrado
PROC-2026-00105,2019-11-18,2020-09-07,294,SP,Cível - Outros,262168.78,Possível,0.35,131084.39,10180.46,Encerrado
PROC-2026-00106,2018-06-15,2021-01-15,945,SP,Cível - Execução,494811.06,Provável,0.93,462351.66,37661.61,Ativo
PROC-2026-00107,2019-01-24,2025-03-13,2240,SP,Cível - Outros,404000.6,Provável,0.84,341282.54,117747.99,Encerrado
PROC-2026-00108,2015-02-28,2019-02-23,1456,SP,Cível - Outros,112147.48,Provável,0.84,93650.71,91743.04,Encerrado
PROC-2026-00109,2017-07-17,2020-08-21,1131,SP,Cível - Outros,24828.88,Possível,0.37,12414.44,43107.33,Ativo
PROC-2026-00110,2018-02-24,2021-11-23,1368,SP,Cível - Outros,487542.79,Provável,0.89,434911.66,33467.71,Encerrado
PROC-2026-00111,2019-05-01,2027-09-22,3066,SP,Cível - Outros,69549.18,Provável,0.81,56572.61,171694.35,Ativo
PROC-2026-00112,2015-06-26,2045-07-27,10989,SP,Cível - Outros,107739.05,Provável,0.79,84902.12,567022.66,Ativo
PROC-2026-00113,2015-01-05,2016-07-28,570,RJ,Cível - Outros,476526.95,Possível,0.41,238263.48,37035.86,Encerrado
PROC-2026-00114,2016-06-08,2025-09-13,3384,SP,Cível - Outros,398373.41,Provável,0.88,350871.59,214625.84,Ativo
PROC-2026-00115,2016-11-26,2023-04-07,2323,SP,Cível - Execução,198218.72,Provável,0.75,148111.22,117642.52,Encerrado
PROC-2026-00116,2017-12-04,2019-11-04,700,SP,Cível - Outros,25117.94,Possível,0.31,12558.97,29303.86,Ativo
PROC-2026-00117,2015-09-19,2018-08-25,1071,SP,Cível - Outros,295695.49,Provável,0.73,214610.83,64043.64,Ativo
PROC-2026-00118,2018-06-25,2021-01-30,950,SP,Cível - Outros,71872.42,Possível,0.32,35936.21,38323.79,Encerrado
PROC-2026-00119,2018-03-25,2019-04-03,374,SP,Cível - Outros,408526.17,Provável,0.96,391409.63,8228.04,Encerrado
PROC-2026-00120,2018-11-27,2020-04-28,518,SP,Cível - Outros,417470.03,Possível,0.5,208735.01,17553.34,Encerrado
PROC-2026-00121,2015-12-24,2017-02-28,432,SP,Cível - Outros,175795.83,Provável,0.72,126815.94,9815.1,Encerrado
PROC-2026-00122,2017-10-19,2028-03-13,3798,SP,Cível - Outros,95891.87,Provável,0.91,86805.17,75684.47,Ativo
PROC-2026-00123,2016-02-25,2025-05-20,3372,SP,Cível - Outros,104780.27,Provável,0.81,84442.81,151620.96,Encerrado
PROC-2026-00124,2017-09-27,2018-05-19,234,SP,Cível - Outros,283991.53,Provável,0.95,268774.3,11930.94,Encerrado
PROC-2026-00125,2015-06-13,2018-11-03,1239,SP,Cível - Outros,54588.63,Provável,0.75,41005.22,65812.78,Ativo
PROC-2026-00126,2016-04-11,2020-02-13,1403,SP,Cível - Outros,335186.35,Provável,0.95,318306.95,54189.62,Ativo
PROC-2026-00127,2017-11-15,2018-11-18,368,SP,Cível - Outros,347961.18,Possível,0.31,173980.59,12117.8,Ativo
PROC-2026-00128,2016-01-16,2019-03-31,1170,SP,Cível - Outros,223414.5,Provável,0.97,215595.08,64579.39,Encerrado
PROC-2026-00129,2019-04-16,2020-10-17,550,SP,Cível - Execução,207604.91,Provável,0.98,203945.88,21495.64,Ativo
PROC-2026-00130,2018-09-08,2020-01-07,486,SP,Cível - Outros,75009.97,Provável,0.95,71192.42,25440.28,Ativo
PROC-2026-00131,2018-04-15,2019-01-16,276,SP,Cível - Execução,81270.72,Possível,0.42,40635.36,14759.41,Encerrado
PROC-2026-00132,2019-03-28,2019-11-14,231,SP,Cível - Outros,212906.48,Possível,0.55,106453.24,14061.19,Encerrado
PROC-2026-00133,2019-10-30,2022-03-22,874,SP,Cível - Execução,475110.1,Provável,0.87,413053.09,41935.45,Ativo
PROC-2026-00134,2015-01-22,2017-05-08,837,SP,Cível - Outros,128029.33,Provável,0.8,102540.5,37333.09,Ativo
PROC-2026-00135,2016-02-04,2025-04-17,3360,SP,Cível - Execução,17916.21,Provável,0.81,14446.04,135939.01,Encerrado
PROC-2026-00136,2016-03-06,2019-07-24,1235,SP,Cível - Outros,478223.0,Provável,0.98,469509.05,79352.75,Encerrado
PROC-2026-00137,2017-06-22,2023-02-03,2052,SP,Cível - Execução,74049.3,Provável,0.83,61807.65,65270.65,Ativo
PROC-2026-00138,2017-05-18,2018-12-09,570,SP,Cível - Outros,351418.91,Provável,0.86,301108.47,10316.59,Encerrado
PROC-2026-00139,2015-09-15,2028-02-09,4530,SP,Cível - Outros,441740.14,Provável,0.86,378476.34,279685.87,Ativo
PROC-2026-00140,2018-12-30,2021-03-01,792,SP,Cível - Outros,339171.42,Provável,0.77,261994.05,15996.18,Encerrado
PROC-2026-00141,2015-04-07,2016-11-21,594,SP,Cível - Execução,325568.92,Possível,0.67,162784.46,25367.34,Ativo
PROC-2026-00142,2017-07-09,2021-08-12,1495,SP,Cível - Outros,347455.41,Provável,0.79,274070.01,59254.88,Encerrado
PROC-2026-00143,2018-01-16,2021-05-09,1209,SP,Cível - Indenizatória,278101.37,Provável,0.84,233681.26,35613.21,Encerrado
PROC-2026-00144,2016-03-09,2019-06-02,1180,SP,Cível - Outros,322203.06,Provável,0.72,233330.45,74514.93,Encerrado
PROC-2026-00145,2015-06-23,2020-12-29,2016,SP,Cível - Outros,465208.59,Provável,0.77,359231.05,88976.62,Encerrado
PROC-2026-00146,2015-07-21,2017-11-07,840,SP,Cível - Outros,7915.22,Provável,0.92,7272.72,48109.02,Encerrado
PROC-2026-00147,2015-08-29,2021-05-17,2088,SP,Cível - Outros,458407.49,Provável,0.8,366462.26,113035.81,Ativo
PROC-2026-00148,2018-08-17,2019-11-01,441,SP,Cível - Outros,33735.19,Provável,0.93,31529.63,20118.98,Encerrado
PROC-2026-00149,2018-04-07,2019-02-20,319,SP,Cível - Outros,222965.97,Provável,0.74,164094.87,12774.78,Encerrado
PROC-2026-00150,2016-09-07,2018-03-11,550,SP,Cível - Outros,343328.01,Provável,0.9,310297.81,22716.52,Encerrado
PROC-2026-00151,2016-06-03,2018-04-06,672,SP,Cível - Indenizatória,241839.67,Provável,0.81,196472.51,36882.19,Encerrado
PROC-2026-00152,2018-04-21,2035-03-31,6188,SP,Cível - Outros,190965.18,Possível,0.42,95482.59,380093.34,Ativo
PROC-2026-00153,2015-05-11,2016-12-29,598,SP,Cível - Outros,169127.18,Provável,0.77,130483.89,20143.98,Encerrado
PROC-2026-00154,2017-05-07,2028-12-30,4255,SP,Cível - Execução,54550.07,Provável,0.7,38368.27,235222.59,Ativo
PROC-2026-00155,2016-02-14,2016-12-16,306,SP,Cível - Outros,60524.45,Provável,0.7,42636.23,9476.92,Encerrado
PROC-2026-00156,2018-01-13,2023-07-26,2020,SP,Cível - Outros,106455.92,Possível,0.49,53227.96,129736.48,Encerrado
PROC-2026-00157,2019-11-15,2021-11-04,720,SP,Cível - Outros,185341.68,Provável,0.79,146413.07,28527.74,Encerrado
PROC-2026-00158,2016-12-08,2028-05-24,4185,SP,Cível - Outros,367912.17,Provável,0.92,338755.87,196422.29,Encerrado
PROC-2026-00159,2015-03-22,2023-08-07,3060,SP,Cível - Execução,6916.22,Possível,0.68,3458.11,202640.45,Ativo
PROC-2026-00160,2015-04-26,2019-01-20,1365,SP,Cível - Outros,20671.32,Possível,0.38,10335.66,38352.49,Encerrado
PROC-2026-00161,2019-01-09,2021-06-09,882,SP,Cível - Execução,301884.92,Possível,0.42,150942.46,50118.92,Ativo
PROC-2026-00162,2019-08-07,2021-05-28,660,SP,Cível - Indenizatória,486025.33,Provável,0.95,462158.79,19289.8,Encerrado
PROC-2026-00163,2017-06-13,2021-07-22,1500,SP,Cível - Outros,492899.94,Possível,0.63,246449.97,91586.83,Encerrado
PROC-2026-00164,2016-12-19,2019-01-02,744,SP,Cível - Outros,499030.29,Provável,0.85,424175.58,31204.16,Ativo
PROC-2026-00165,2015-09-26,2022-07-01,2470,SP,Cível - Outros,168058.94,Provável,0.89,149538.82,104791.72,Ativo
PROC-2026-00166,2019-09-03,2021-06-30,666,SP,Cível - Outros,155207.72,Provável,0.79,122370.64,23481.24,Encerrado
PROC-2026-00167,2016-05-30,2024-09-01,3016,SP,Cível - Outros,212572.51,Provável,0.75,159236.07,78473.26,Encerrado
PROC-2026-00168,2015-09-11,2016-08-28,352,SP,Cível - Outros,442845.42,Provável,0.71,313474.49,8406.39,Encerrado
PROC-2026-00169,2015-08-19,2019-09-09,1482,SP,Cível - Indenizatória,343560.25,Provável,0.88,300697.65,58529.62,Encerrado
PROC-2026-00170,2015-02-07,2019-01-07,1430,SP,Cível - Outros,369310.44,Provável,0.76,279941.68,41778.36,Ativo
PROC-2026-00171,2015-05-31,2018-08-31,1188,SP,Cível - Execução,440972.23,Provável,0.7,309585.78,41058.77,Encerrado
PROC-2026-00172,2019-04-18,2022-12-04,1326,SP,Cível - Outros,290174.7,Provável,0.88,254002.4,48893.15,Encerrado
PROC-2026-00173,2015-11-01,2022-02-21,2304,SP,Cível - Outros,311427.55,Possível,0.57,155713.77,70835.3,Ativo
PROC-2026-00174,2015-01-08,2016-07-07,546,SP,Cível - Outros,142389.82,Possível,0.39,71194.91,22230.6,Encerrado
PROC-2026-00175,2018-11-12,2020-09-02,660,SP,Cível - Execução,128209.37,Provável,0.71,91128.89,13244.31,Encerrado
PROC-2026-00176,2018-03-25,2024-12-28,2470,SP,Cível - Outros,101410.27,Provável,0.98,99079.57,155508.0,Encerrado
PROC-2026-00177,2016-10-18,2021-03-26,1620,SP,Cível - Outros,285135.46,Provável,0.92,262424.7,80601.63,Encerrado
PROC-2026-00178,2018-03-03,2029-01-03,3959,SP,Cível - Execução,104398.3,Possível,0.53,52199.15,216686.83,Encerrado
PROC-2026-00179,2018-08-02,2019-06-28,330,SP,Cível - Outros,99425.45,Provável,0.85,84325.52,7800.59,Encerrado
PROC-2026-00180,2018-05-30,2022-11-23,1638,SP,Cível - Outros,336262.89,Provável,0.8,270356.22,56997.15,Ativo
PROC-2026-00181,2019-03-24,2025-06-20,2280,SP,Cível - Outros,322847.83,Provável,0.71,229659.35,97344.73,Ativo
PROC-2026-00182,2016-12-08,2017-10-28,324,RJ,Cível - Execução,361142.77,Possível,0.63,180571.38,5702.52,Encerrado
PROC-2026-00183,2015-09-19,2017-05-19,608,SP,Cível - Outros,150527.04,Possível,0.33,75263.52,34394.24,Encerrado
PROC-2026-00184,2016-09-14,2023-04-14,2403,SP,Cível - Execução,204493.67,Provável,0.83,170124.04,152086.79,Encerrado
PROC-2026-00185,2017-11-02,2028-05-20,3852,SP,Cível - Execução,307407.05,Provável,0.95,292849.47,209190.39,Encerrado
PROC-2026-00186,2019-07-15,2025-08-04,2212,SP,Cível - Outros,400135.66,Provável,0.81,325403.98,104957.95,Ativo
PROC-2026-00187,2016-12-26,2264-07-05,90406,SP,Cível - Outros,253370.76,Provável,0.84,213183.59,5731308.28,Ativo
PROC-2026-00188,2019-08-30,2027-12-10,3024,SP,Cível - Execução,228438.17,Provável,0.83,189107.8,72200.91,Encerrado
PROC-2026-00189,2015-04-17,2018-07-26,1196,SP,Cível - Outros,15191.85,Provável,0.82,12506.51,67022.02,Encerrado
PROC-2026-00190,2015-08-29,2022-04-07,2413,SP,Cível - Outros,470139.53,Provável,0.88,412563.55,78771.13,Ativo
PROC-2026-00191,2019-10-03,2024-07-16,1748,SP,Cível - Outros,173715.71,Provável,0.98,170801.99,41909.88,Encerrado
PROC-2026-00192,2017-10-18,2021-03-21,1250,SP,Cível - Execução,137260.24,Provável,0.8,109865.8,37151.23,Encerrado
PROC-2026-00193,2019-04-18,2021-10-05,901,SP,Cível - Outros,118210.69,Provável,0.87,103377.74,39420.24,Encerrado
PROC-2026-00194,2019-02-07,2027-03-09,2952,SP,Cível - Outros,229193.35,Provável,0.75,172598.38,157454.27,Encerrado
PROC-2026-00195,2016-01-03,2033-09-24,6474,SP,Cível - Outros,262982.26,Provável,0.79,207799.31,410462.94,Ativo
PROC-2026-00196,2016-06-13,2026-11-16,3808,SP,Cível - Outros,119933.45,Provável,0.85,101772.65,136671.02,Encerrado
PROC-2026-00197,2015-12-13,2018-09-28,1020,SP,Cível - Outros,252068.79,Possível,0.53,126034.39,50762.11,Ativo
PROC-2026-00198,2018-12-13,2020-04-20,494,SP,Cível - Outros,459346.54,Provável,0.72,328460.15,27035.1,Encerrado
PROC-2026-00199,2019-08-23,2020-10-28,432,SP,Cível - Outros,23327.98,Provável,0.82,19135.81,19868.07,Encerrado
PROC-2026-00200,2015-07-05,2018-01-08,918,SP,Cível - Indenizatória,369348.58,Provável,0.72,266901.45,23944.2,Encerrado
PROC-2026-00201,2016-12-02,2021-01-06,1496,SP,Cível - Execução,150049.0,Possível,0.4,75024.5,65924.62,Ativo
PROC-2026-00202,2018-02-28,2019-05-14,440,SP,Cível - Outros,84693.05,Provável,0.9,76289.29,19651.4,Encerrado
PROC-2026-00203,2019-09-30,2022-03-20,902,SP,Cível - Outros,327766.86,Provável,0.87,284739.64,37230.62,Encerrado
PROC-2026-00204,2019-09-24,2024-06-29,1740,SP,Trabalhista,37290.89,Possível,0.42,18645.44,46207.19,Ativo
PROC-2026-00205,2019-05-02,2021-10-28,910,SP,Cível - Outros,460477.01,Provável,1.0,459905.95,52358.95,Encerrado
PROC-2026-00206,2019-09-30,2023-05-18,1326,SP,Cível - Outros,358992.04,Possível,0.67,179496.02,51117.2,Ativo
PROC-2026-00207,2015-11-20,2019-02-16,1184,SP,Cível - Outros,308314.71,Provável,0.86,265453.88,51868.72,Encerrado
